,Year,Region,Center,Section,Table name,Category,Number,Area (Donum)
80,2018,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
81,2018,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
82,2018,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
83,2018,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
84,2019,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
85,2019,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
86,2019,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
87,2019,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
88,2019,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
89,2019,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
90,2019,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
91,2019,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
92,2019,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
93,2019,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
94,2019,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
95,2019,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
96,2020,AlDhafra Region,Al Tharwaniya ,Agriculture extension ,Number and area of ​​farms,Farms,1746,41619
97,2020,AlDhafra Region,Al Silaa ,Agriculture extension ,Number and area of ​​farms,Farms,108,1656
98,2020,AlDhafra Region,Al Fathiya,Agriculture extension ,Number and area of ​​farms,Farms,128,2278
99,2020,AlDhafra Region,Al Mirfaa ,Agriculture extension ,Number and area of ​​farms,Farms,98,980
100,2020,AlDhafra Region,Um Al Hesn,Agriculture extension ,Number and area of ​​farms,Farms,795,19157
101,2020,AlDhafra Region,Hassan ,Agriculture extension ,Number and area of ​​farms,Farms,1371,28223
102,2020,AlDhafra Region,Hamim ,Agriculture extension ,Number and area of ​​farms,Farms,883,20115
103,2020,AlDhafra Region,Delma ,Agriculture extension ,Number and area of ​​farms,Farms,102,1013
104,2020,AlDhafra Region,Seih Al Khair ,Agriculture extension ,Number and area of ​​farms,Farms,559,23264
105,2020,AlDhafra Region,Ghayathi ,Agriculture extension ,Number and area of ​​farms,Farms,478,18410
106,2020,AlDhafra Region,Madinat Zayed ,Agriculture extension ,Number and area of ​​farms,Farms,541,12802
107,2020,AlDhafra Region,Muzairaa,Agriculture extension ,Number and area of ​​farms,Farms,1683,38170
