"Rep Date
تاريخ الحادث","
Rep Year
 سنة الحادث
","No of accidents
 عدد الحوادث","No of Injured 
عدد الاصابات"
13/06/2016,2016,18,0
13/06/2016,2016,16,0
13/06/2016,2016,22,0
13/06/2016,2016,17,0
13/06/2016,2016,13,0
13/06/2016,2016,24,0
13/06/2016,2016,19,0
13/07/2016,2016,1,0
13/07/2016,2016,1,0
13/07/2016,2016,2,0
13/07/2016,2016,3,0
13/07/2016,2016,4,0
13/07/2016,2016,6,0
13/07/2016,2016,7,0
13/07/2016,2016,9,0
13/07/2016,2016,5,0
13/07/2016,2016,12,0
13/07/2016,2016,13,0
13/07/2016,2016,20,0
13/07/2016,2016,18,0
13/07/2016,2016,11,0
13/07/2016,2016,23,0
13/07/2016,2016,14,0
13/08/2016,2016,1,0
13/08/2016,2016,1,0
13/08/2016,2016,1,0
13/08/2016,2016,1,0
13/08/2016,2016,1,0
13/08/2016,2016,2,0
13/08/2016,2016,4,0
13/08/2016,2016,10,0
13/08/2016,2016,3,0
13/08/2016,2016,5,0
13/08/2016,2016,7,0
13/08/2016,2016,6,0
13/08/2016,2016,8,0
13/08/2016,2016,20,0
13/08/2016,2016,21,0
13/08/2016,2016,13,0
13/08/2016,2016,16,0
13/09/2016,2016,1,0
13/09/2016,2016,1,0
13/09/2016,2016,1,0
13/09/2016,2016,1,0
13/09/2016,2016,3,0
13/09/2016,2016,2,0
13/09/2016,2016,4,0
13/09/2016,2016,5,0
13/09/2016,2016,9,0
13/09/2016,2016,6,0
13/09/2016,2016,7,0
13/09/2016,2016,19,0
13/09/2016,2016,13,0
13/10/2016,2016,1,0
13/10/2016,2016,1,0
13/10/2016,2016,1,0
13/10/2016,2016,1,0
13/10/2016,2016,2,0
13/10/2016,2016,3,0
13/10/2016,2016,4,0
13/10/2016,2016,5,0
13/10/2016,2016,18,0
13/10/2016,2016,6,0
13/10/2016,2016,8,0
13/10/2016,2016,11,0
13/10/2016,2016,25,0
13/10/2016,2016,7,0
13/10/2016,2016,15,0
13/10/2016,2016,12,0
13/10/2016,2016,30,0
13/10/2016,2016,14,0
13/10/2016,2016,20,0
13/11/2016,2016,1,0
13/11/2016,2016,1,0
13/11/2016,2016,5,0
13/11/2016,2016,3,0
13/11/2016,2016,2,0
13/11/2016,2016,4,0
13/11/2016,2016,6,0
13/11/2016,2016,17,0
13/11/2016,2016,13,0
13/11/2016,2016,10,0
13/11/2016,2016,12,0
13/11/2016,2016,22,0
13/11/2016,2016,7,0
13/11/2016,2016,9,0
13/11/2016,2016,19,0
13/11/2016,2016,30,0
13/11/2016,2016,14,0
13/11/2016,2016,8,0
13/11/2016,2016,30,0
13/12/2016,2016,1,0
13/12/2016,2016,1,0
13/12/2016,2016,1,0
13/12/2016,2016,3,0
13/12/2016,2016,2,0
13/12/2016,2016,8,0
13/12/2016,2016,5,0
13/12/2016,2016,6,0
13/12/2016,2016,17,0
13/12/2016,2016,4,0
13/12/2016,2016,10,0
13/12/2016,2016,12,0
13/12/2016,2016,15,0
13/12/2016,2016,18,0
13/12/2016,2016,29,0
13/12/2016,2016,7,0
13/12/2016,2016,13,0
13/12/2016,2016,24,0
14/01/2016,2016,1,0
14/01/2016,2016,1,0
14/01/2016,2016,1,0
14/01/2016,2016,1,0
14/01/2016,2016,2,0
14/01/2016,2016,4,0
14/01/2016,2016,17,0
14/01/2016,2016,3,0
14/01/2016,2016,7,0
14/01/2016,2016,10,0
14/01/2016,2016,5,0
14/01/2016,2016,15,0
14/01/2016,2016,11,0
14/01/2016,2016,30,0
14/01/2016,2016,8,0
14/01/2016,2016,6,0
14/01/2016,2016,24,0
14/01/2016,2016,18,0
14/02/2016,2016,1,0
14/02/2016,2016,1,0
14/02/2016,2016,1,0
14/02/2016,2016,2,0
14/02/2016,2016,7,0
14/02/2016,2016,3,0
14/02/2016,2016,17,0
14/02/2016,2016,5,0
14/02/2016,2016,14,0
14/02/2016,2016,4,0
14/02/2016,2016,22,0
14/02/2016,2016,9,0
14/02/2016,2016,8,0
14/02/2016,2016,6,0
14/02/2016,2016,12,0
14/02/2016,2016,11,0
14/02/2016,2016,26,0
14/02/2016,2016,20,0
14/02/2016,2016,19,0
14/03/2016,2016,1,0
14/03/2016,2016,1,0
14/03/2016,2016,1,0
14/03/2016,2016,2,0
14/03/2016,2016,6,0
14/03/2016,2016,5,0
14/03/2016,2016,4,0
14/03/2016,2016,14,0
14/03/2016,2016,3,0
14/03/2016,2016,15,0
14/03/2016,2016,7,0
14/03/2016,2016,17,0
14/03/2016,2016,8,0
14/03/2016,2016,10,0
14/03/2016,2016,13,0
14/03/2016,2016,16,0
14/03/2016,2016,25,0
14/03/2016,2016,12,0
14/03/2016,2016,30,0
14/03/2016,2016,18,0
14/04/2016,2016,1,0
14/04/2016,2016,1,0
14/04/2016,2016,1,0
14/04/2016,2016,1,0
14/04/2016,2016,4,0
14/04/2016,2016,2,0
14/04/2016,2016,3,0
14/04/2016,2016,15,0
14/04/2016,2016,6,0
14/04/2016,2016,7,0
14/04/2016,2016,10,0
14/04/2016,2016,5,0
14/04/2016,2016,18,0
14/04/2016,2016,8,0
14/04/2016,2016,9,0
14/04/2016,2016,14,0
14/04/2016,2016,30,0
14/04/2016,2016,28,0
14/04/2016,2016,19,0
14/05/2016,2016,1,0
14/05/2016,2016,1,0
14/05/2016,2016,1,0
14/05/2016,2016,3,0
14/05/2016,2016,5,0
14/05/2016,2016,2,0
14/05/2016,2016,8,0
14/05/2016,2016,4,0
14/05/2016,2016,7,0
14/05/2016,2016,16,0
14/05/2016,2016,6,0
14/05/2016,2016,25,0
14/05/2016,2016,21,0
14/05/2016,2016,10,0
14/05/2016,2016,20,0
14/05/2016,2016,19,0
14/06/2016,2016,1,0
14/06/2016,2016,1,0
14/06/2016,2016,1,0
14/06/2016,2016,1,0
14/06/2016,2016,2,0
14/06/2016,2016,5,0
14/06/2016,2016,3,0
14/06/2016,2016,19,0
14/06/2016,2016,4,0
14/06/2016,2016,6,0
14/06/2016,2016,15,0
14/06/2016,2016,11,0
14/06/2016,2016,7,0
14/06/2016,2016,9,0
14/06/2016,2016,26,0
14/06/2016,2016,10,0
14/06/2016,2016,17,0
14/06/2016,2016,20,0
14/07/2016,2016,1,0
14/07/2016,2016,1,0
14/07/2016,2016,2,0
14/07/2016,2016,5,0
14/07/2016,2016,9,0
14/07/2016,2016,3,0
14/07/2016,2016,4,0
14/07/2016,2016,7,0
14/07/2016,2016,14,0
14/07/2016,2016,6,0
14/07/2016,2016,10,0
14/07/2016,2016,17,0
14/07/2016,2016,30,0
14/07/2016,2016,8,0
14/07/2016,2016,12,0
14/07/2016,2016,26,0
14/07/2016,2016,13,0
14/07/2016,2016,20,0
14/08/2016,2016,1,0
14/08/2016,2016,1,0
14/08/2016,2016,3,0
14/08/2016,2016,2,0
14/08/2016,2016,7,0
14/08/2016,2016,12,0
14/08/2016,2016,4,0
14/08/2016,2016,6,0
14/08/2016,2016,5,0
14/08/2016,2016,13,0
14/08/2016,2016,8,0
14/08/2016,2016,19,0
14/08/2016,2016,20,0
14/08/2016,2016,30,0
14/08/2016,2016,30,0
14/08/2016,2016,14,0
14/09/2016,2016,1,0
14/09/2016,2016,1,0
14/09/2016,2016,3,0
14/09/2016,2016,6,0
14/09/2016,2016,2,0
14/09/2016,2016,4,0
14/09/2016,2016,5,0
14/09/2016,2016,8,0
14/09/2016,2016,11,0
14/09/2016,2016,10,0
14/09/2016,2016,24,0
14/10/2016,2016,1,0
14/10/2016,2016,1,0
14/10/2016,2016,1,0
14/10/2016,2016,1,0
14/10/2016,2016,2,0
14/10/2016,2016,4,0
14/10/2016,2016,3,0
14/10/2016,2016,5,0
14/10/2016,2016,6,0
14/10/2016,2016,7,0
14/10/2016,2016,10,0
14/10/2016,2016,11,0
14/10/2016,2016,19,0
14/11/2016,2016,1,0
14/11/2016,2016,1,0
14/11/2016,2016,1,0
14/11/2016,2016,4,0
14/11/2016,2016,3,0
14/11/2016,2016,5,0
14/11/2016,2016,2,0
14/11/2016,2016,11,0
14/11/2016,2016,15,0
14/11/2016,2016,6,0
14/11/2016,2016,19,0
14/11/2016,2016,12,0
14/11/2016,2016,7,0
14/11/2016,2016,13,0
14/11/2016,2016,8,0
14/11/2016,2016,14,0
14/11/2016,2016,30,0
14/11/2016,2016,10,0
14/11/2016,2016,9,0
14/11/2016,2016,21,0
14/11/2016,2016,29,0
14/12/2016,2016,1,0
14/12/2016,2016,1,0
14/12/2016,2016,1,0
14/12/2016,2016,1,0
14/12/2016,2016,1,0
14/12/2016,2016,2,0
14/12/2016,2016,4,0
14/12/2016,2016,8,0
14/12/2016,2016,3,0
14/12/2016,2016,19,0
14/12/2016,2016,7,0
14/12/2016,2016,9,0
14/12/2016,2016,5,0
14/12/2016,2016,6,0
14/12/2016,2016,14,0
14/12/2016,2016,10,0
14/12/2016,2016,23,0
14/12/2016,2016,29,0
14/12/2016,2016,15,0
14/12/2016,2016,20,0
15/01/2016,2016,1,0
15/01/2016,2016,1,0
15/01/2016,2016,1,0
15/01/2016,2016,1,0
15/01/2016,2016,3,0
15/01/2016,2016,5,0
15/01/2016,2016,2,0
15/01/2016,2016,4,0
15/01/2016,2016,6,0
15/01/2016,2016,9,0
15/01/2016,2016,12,0
15/02/2016,2016,1,0
15/02/2016,2016,1,0
15/02/2016,2016,1,0
15/02/2016,2016,2,0
15/02/2016,2016,3,0
15/02/2016,2016,4,0
15/02/2016,2016,21,0
15/02/2016,2016,6,0
15/02/2016,2016,8,0
15/02/2016,2016,5,0
15/02/2016,2016,18,0
15/02/2016,2016,20,0
15/02/2016,2016,10,0
15/02/2016,2016,12,0
15/02/2016,2016,7,0
15/02/2016,2016,14,0
15/02/2016,2016,13,0
15/02/2016,2016,26,0
15/02/2016,2016,9,0
15/02/2016,2016,23,0
15/02/2016,2016,19,0
15/03/2016,2016,1,0
15/03/2016,2016,1,0
15/03/2016,2016,1,0
15/03/2016,2016,1,0
15/03/2016,2016,4,0
15/03/2016,2016,3,0
15/03/2016,2016,2,0
15/03/2016,2016,6,0
15/03/2016,2016,5,0
15/03/2016,2016,12,0
15/03/2016,2016,13,0
15/03/2016,2016,20,0
15/03/2016,2016,8,0
15/03/2016,2016,10,0
15/03/2016,2016,11,0
15/03/2016,2016,17,0
15/03/2016,2016,19,0
15/03/2016,2016,30,0
15/03/2016,2016,9,0
15/03/2016,2016,28,0
15/03/2016,2016,23,0
15/04/2016,2016,1,0
15/04/2016,2016,1,0
15/04/2016,2016,1,0
15/04/2016,2016,2,0
15/04/2016,2016,5,0
15/04/2016,2016,3,0
15/04/2016,2016,4,0
15/04/2016,2016,7,0
15/04/2016,2016,10,0
15/04/2016,2016,6,0
15/05/2016,2016,1,0
15/05/2016,2016,1,0
15/05/2016,2016,1,0
15/05/2016,2016,2,0
15/05/2016,2016,3,0
15/05/2016,2016,8,0
15/05/2016,2016,13,0
15/05/2016,2016,11,0
15/05/2016,2016,10,0
15/05/2016,2016,16,0
15/05/2016,2016,7,0
15/05/2016,2016,4,0
15/05/2016,2016,5,0
15/05/2016,2016,15,0
15/05/2016,2016,6,0
15/05/2016,2016,9,0
15/05/2016,2016,24,0
15/05/2016,2016,30,0
15/05/2016,2016,30,0
15/05/2016,2016,20,0
15/06/2016,2016,1,0
15/06/2016,2016,1,0
15/06/2016,2016,1,0
15/06/2016,2016,2,0
15/06/2016,2016,4,0
15/06/2016,2016,8,0
15/06/2016,2016,3,0
15/06/2016,2016,16,0
15/06/2016,2016,7,0
15/06/2016,2016,5,0
15/06/2016,2016,6,0
15/06/2016,2016,19,0
15/06/2016,2016,9,0
15/06/2016,2016,13,0
15/06/2016,2016,11,0
15/06/2016,2016,17,0
15/06/2016,2016,23,0
15/06/2016,2016,26,0
15/07/2016,2016,1,0
15/07/2016,2016,1,0
15/07/2016,2016,2,0
15/07/2016,2016,4,0
15/07/2016,2016,5,0
15/07/2016,2016,3,0
15/07/2016,2016,10,0
15/07/2016,2016,6,0
15/07/2016,2016,8,0
15/07/2016,2016,11,0
15/07/2016,2016,21,0
15/07/2016,2016,7,0
15/08/2016,2016,1,0
15/08/2016,2016,1,0
15/08/2016,2016,2,0
15/08/2016,2016,3,0
15/08/2016,2016,9,0
15/08/2016,2016,6,0
15/08/2016,2016,8,0
15/08/2016,2016,4,0
15/08/2016,2016,16,0
15/08/2016,2016,5,0
15/08/2016,2016,10,0
15/08/2016,2016,13,0
15/08/2016,2016,15,0
15/08/2016,2016,30,0
15/08/2016,2016,20,0
15/08/2016,2016,7,0
15/08/2016,2016,24,0
15/09/2016,2016,1,0
15/09/2016,2016,1,0
15/09/2016,2016,1,0
15/09/2016,2016,1,0
15/09/2016,2016,2,0
15/09/2016,2016,3,0
15/09/2016,2016,6,0
15/09/2016,2016,5,0
15/09/2016,2016,7,0
15/09/2016,2016,4,0
15/09/2016,2016,10,0
15/09/2016,2016,9,0
15/09/2016,2016,24,0
15/09/2016,2016,11,0
15/10/2016,2016,1,0
15/10/2016,2016,1,0
15/10/2016,2016,1,0
15/10/2016,2016,2,0
15/10/2016,2016,3,0
15/10/2016,2016,5,0
15/10/2016,2016,8,0
15/10/2016,2016,7,0
15/10/2016,2016,11,0
15/10/2016,2016,4,0
15/10/2016,2016,6,0
15/10/2016,2016,9,0
15/10/2016,2016,14,0
15/10/2016,2016,24,0
15/10/2016,2016,13,0
15/11/2016,2016,1,0
15/11/2016,2016,2,0
15/11/2016,2016,1,0
15/11/2016,2016,3,0
15/11/2016,2016,5,0
15/11/2016,2016,13,0
15/11/2016,2016,4,0
15/11/2016,2016,8,0
15/11/2016,2016,6,0
15/11/2016,2016,12,0
15/11/2016,2016,30,0
15/11/2016,2016,7,0
15/11/2016,2016,14,0
15/11/2016,2016,26,0
15/11/2016,2016,17,0
15/12/2016,2016,1,0
15/12/2016,2016,1,0
15/12/2016,2016,1,0
15/12/2016,2016,2,0
15/12/2016,2016,3,0
15/12/2016,2016,4,0
15/12/2016,2016,15,0
15/12/2016,2016,18,0
15/12/2016,2016,5,0
15/12/2016,2016,13,0
15/12/2016,2016,7,0
15/12/2016,2016,10,0
15/12/2016,2016,6,0
15/12/2016,2016,14,0
15/12/2016,2016,12,0
15/12/2016,2016,24,0
15/12/2016,2016,11,0
15/12/2016,2016,17,0
16/01/2016,2016,1,0
16/01/2016,2016,1,0
16/01/2016,2016,2,0
16/01/2016,2016,1,0
16/01/2016,2016,2,0
16/01/2016,2016,3,0
16/01/2016,2016,5,0
16/01/2016,2016,4,0
16/01/2016,2016,6,0
16/01/2016,2016,7,0
16/01/2016,2016,8,0
16/01/2016,2016,18,0
16/01/2016,2016,16,0
16/01/2016,2016,30,0
16/01/2016,2016,17,0
16/01/2016,2016,27,0
16/01/2016,2016,12,0
16/02/2016,2016,1,0
16/02/2016,2016,1,0
16/02/2016,2016,1,0
16/02/2016,2016,2,0
16/02/2016,2016,4,0
16/02/2016,2016,12,0
16/02/2016,2016,3,0
16/02/2016,2016,6,0
16/02/2016,2016,5,0
16/02/2016,2016,16,0
16/02/2016,2016,8,0
16/02/2016,2016,13,0
16/02/2016,2016,7,0
16/02/2016,2016,20,0
16/02/2016,2016,17,0
16/02/2016,2016,15,0
16/02/2016,2016,9,0
16/02/2016,2016,26,0
16/03/2016,2016,1,0
16/03/2016,2016,1,0
16/03/2016,2016,3,0
16/03/2016,2016,2,0
16/03/2016,2016,4,0
16/03/2016,2016,6,0
16/03/2016,2016,14,0
16/03/2016,2016,7,0
16/03/2016,2016,11,0
16/03/2016,2016,5,0
16/03/2016,2016,15,0
16/03/2016,2016,10,0
16/03/2016,2016,17,0
16/03/2016,2016,23,0
16/03/2016,2016,8,0
16/03/2016,2016,9,0
16/03/2016,2016,24,0
16/04/2016,2016,1,0
16/04/2016,2016,1,0
16/04/2016,2016,1,0
16/04/2016,2016,2,0
16/04/2016,2016,3,0
16/04/2016,2016,5,0
16/04/2016,2016,4,0
16/04/2016,2016,8,0
16/04/2016,2016,6,0
16/04/2016,2016,11,0
16/04/2016,2016,15,0
16/04/2016,2016,14,0
16/04/2016,2016,20,0
16/04/2016,2016,10,0
16/04/2016,2016,19,0
16/05/2016,2016,1,0
16/05/2016,2016,1,0
16/05/2016,2016,2,0
16/05/2016,2016,6,0
16/05/2016,2016,4,0
16/05/2016,2016,27,0
16/05/2016,2016,5,0
16/05/2016,2016,3,0
16/05/2016,2016,18,0
16/05/2016,2016,7,0
16/05/2016,2016,13,0
16/05/2016,2016,8,0
16/05/2016,2016,9,0
16/05/2016,2016,29,0
16/05/2016,2016,14,0
16/05/2016,2016,21,0
16/05/2016,2016,10,0
16/05/2016,2016,20,0
16/06/2016,2016,1,0
16/06/2016,2016,1,0
16/06/2016,2016,1,0
16/06/2016,2016,1,0
16/06/2016,2016,2,0
16/06/2016,2016,5,0
16/06/2016,2016,6,0
16/06/2016,2016,4,0
16/06/2016,2016,18,0
16/06/2016,2016,7,0
16/06/2016,2016,9,0
16/06/2016,2016,3,0
16/06/2016,2016,8,0
16/06/2016,2016,14,0
16/06/2016,2016,17,0
16/06/2016,2016,30,0
16/06/2016,2016,12,0
16/06/2016,2016,22,0
16/07/2016,2016,1,0
16/07/2016,2016,1,0
16/07/2016,2016,1,0
16/07/2016,2016,2,0
16/07/2016,2016,4,0
16/07/2016,2016,7,0
16/07/2016,2016,6,0
16/07/2016,2016,3,0
16/07/2016,2016,5,0
16/07/2016,2016,12,0
16/07/2016,2016,10,0
16/07/2016,2016,20,0
16/07/2016,2016,30,0
16/07/2016,2016,24,0
16/07/2016,2016,14,0
16/08/2016,2016,1,0
16/08/2016,2016,1,0
16/08/2016,2016,1,0
16/08/2016,2016,3,0
16/08/2016,2016,5,0
16/08/2016,2016,2,0
16/08/2016,2016,17,0
16/08/2016,2016,11,0
16/08/2016,2016,4,0
16/08/2016,2016,8,0
16/08/2016,2016,15,0
16/08/2016,2016,18,0
16/08/2016,2016,30,0
16/08/2016,2016,12,0
16/08/2016,2016,9,0
16/08/2016,2016,6,0
16/09/2016,2016,1,0
16/09/2016,2016,1,0
16/09/2016,2016,1,0
16/09/2016,2016,2,0
16/09/2016,2016,8,0
16/09/2016,2016,5,0
16/09/2016,2016,3,0
16/09/2016,2016,7,0
16/09/2016,2016,4,0
16/09/2016,2016,10,0
16/09/2016,2016,6,0
16/09/2016,2016,12,0
16/10/2016,2016,1,0
16/10/2016,2016,1,0
16/10/2016,2016,1,0
16/10/2016,2016,2,0
16/10/2016,2016,3,0
16/10/2016,2016,5,0
16/10/2016,2016,7,0
16/10/2016,2016,30,0
16/10/2016,2016,6,0
16/10/2016,2016,4,0
16/10/2016,2016,12,0
16/10/2016,2016,20,0
16/10/2016,2016,25,0
16/10/2016,2016,9,0
16/10/2016,2016,11,0
16/10/2016,2016,17,0
16/10/2016,2016,21,0
16/11/2016,2016,1,0
16/11/2016,2016,1,0
16/11/2016,2016,1,0
16/11/2016,2016,1,0
16/11/2016,2016,1,0
16/11/2016,2016,2,0
16/11/2016,2016,3,0
16/11/2016,2016,19,0
16/11/2016,2016,7,0
16/11/2016,2016,10,0
16/11/2016,2016,4,0
16/11/2016,2016,5,0
16/11/2016,2016,9,0
16/11/2016,2016,25,0
16/11/2016,2016,6,0
16/11/2016,2016,8,0
16/11/2016,2016,16,0
16/11/2016,2016,12,0
16/11/2016,2016,17,0
16/11/2016,2016,23,0
16/11/2016,2016,11,0
16/11/2016,2016,24,0
16/12/2016,2016,1,0
16/12/2016,2016,1,0
16/12/2016,2016,1,0
16/12/2016,2016,3,0
16/12/2016,2016,2,0
16/12/2016,2016,4,0
16/12/2016,2016,5,0
16/12/2016,2016,6,0
16/12/2016,2016,7,0
16/12/2016,2016,21,0
16/12/2016,2016,11,0
17/01/2016,2016,1,0
17/01/2016,2016,1,0
17/01/2016,2016,1,0
17/01/2016,2016,2,0
17/01/2016,2016,3,0
17/01/2016,2016,4,0
17/01/2016,2016,16,0
17/01/2016,2016,8,0
17/01/2016,2016,11,0
17/01/2016,2016,7,0
17/01/2016,2016,6,0
17/01/2016,2016,5,0
17/01/2016,2016,9,0
17/01/2016,2016,27,0
17/01/2016,2016,13,0
17/01/2016,2016,20,0
17/02/2016,2016,1,0
17/02/2016,2016,1,0
17/02/2016,2016,1,0
17/02/2016,2016,2,0
17/02/2016,2016,3,0
17/02/2016,2016,13,0
17/02/2016,2016,6,0
17/02/2016,2016,15,0
17/02/2016,2016,5,0
17/02/2016,2016,7,0
17/02/2016,2016,14,0
17/02/2016,2016,4,0
17/02/2016,2016,19,0
17/02/2016,2016,8,0
17/02/2016,2016,16,0
17/02/2016,2016,22,0
17/02/2016,2016,10,0
17/03/2016,2016,1,0
17/03/2016,2016,1,0
17/03/2016,2016,2,0
17/03/2016,2016,3,0
17/03/2016,2016,4,0
17/03/2016,2016,14,0
17/03/2016,2016,6,0
17/03/2016,2016,19,0
17/03/2016,2016,5,0
17/03/2016,2016,9,0
17/03/2016,2016,23,0
17/03/2016,2016,16,0
17/03/2016,2016,10,0
17/03/2016,2016,18,0
17/03/2016,2016,7,0
17/03/2016,2016,24,0
17/03/2016,2016,15,0
17/03/2016,2016,25,0
17/04/2016,2016,1,0
17/04/2016,2016,1,0
17/04/2016,2016,1,0
17/04/2016,2016,2,0
17/04/2016,2016,15,0
17/04/2016,2016,7,0
17/04/2016,2016,4,0
17/04/2016,2016,18,0
17/04/2016,2016,3,0
17/04/2016,2016,6,0
17/04/2016,2016,8,0
17/04/2016,2016,5,0
17/04/2016,2016,12,0
17/04/2016,2016,9,0
17/04/2016,2016,30,0
17/04/2016,2016,22,0
17/04/2016,2016,30,0
17/04/2016,2016,10,0
17/04/2016,2016,29,0
17/05/2016,2016,1,0
17/05/2016,2016,1,0
17/05/2016,2016,1,0
17/05/2016,2016,2,0
17/05/2016,2016,3,0
17/05/2016,2016,5,0
17/05/2016,2016,4,0
17/05/2016,2016,10,0
17/05/2016,2016,9,0
17/05/2016,2016,7,0
17/05/2016,2016,6,0
17/05/2016,2016,11,0
17/05/2016,2016,16,0
17/05/2016,2016,14,0
17/05/2016,2016,17,0
17/05/2016,2016,23,0
17/05/2016,2016,15,0
17/05/2016,2016,24,0
17/05/2016,2016,18,0
17/06/2016,2016,1,0
17/06/2016,2016,1,0
17/06/2016,2016,1,0
17/06/2016,2016,2,0
17/06/2016,2016,3,0
17/06/2016,2016,5,0
17/06/2016,2016,4,0
17/06/2016,2016,7,0
17/06/2016,2016,9,0
17/06/2016,2016,6,0
17/06/2016,2016,11,0
17/06/2016,2016,21,0
17/07/2016,2016,1,0
17/07/2016,2016,1,0
17/07/2016,2016,2,0
17/07/2016,2016,4,0
17/07/2016,2016,9,0
17/07/2016,2016,3,0
17/07/2016,2016,10,0
17/07/2016,2016,14,0
17/07/2016,2016,5,0
17/07/2016,2016,6,0
17/07/2016,2016,15,0
17/07/2016,2016,25,0
17/07/2016,2016,30,0
17/07/2016,2016,12,0
17/07/2016,2016,11,0
17/07/2016,2016,22,0
17/07/2016,2016,17,0
17/08/2016,2016,1,0
17/08/2016,2016,1,0
17/08/2016,2016,2,0
17/08/2016,2016,3,0
17/08/2016,2016,4,0
17/08/2016,2016,17,0
17/08/2016,2016,5,0
17/08/2016,2016,6,0
17/08/2016,2016,13,0
17/08/2016,2016,9,0
17/08/2016,2016,10,0
17/08/2016,2016,20,0
17/08/2016,2016,28,0
17/08/2016,2016,11,0
17/08/2016,2016,30,0
17/08/2016,2016,18,0
17/09/2016,2016,1,0
17/09/2016,2016,1,0
17/09/2016,2016,1,0
17/09/2016,2016,1,0
17/09/2016,2016,2,0
17/09/2016,2016,3,0
17/09/2016,2016,5,0
17/09/2016,2016,4,0
17/09/2016,2016,6,0
17/09/2016,2016,8,0
17/09/2016,2016,17,0
17/09/2016,2016,14,0
17/09/2016,2016,7,0
17/09/2016,2016,24,0
17/09/2016,2016,9,0
17/10/2016,2016,1,0
17/10/2016,2016,1,0
17/10/2016,2016,1,0
17/10/2016,2016,2,0
17/10/2016,2016,8,0
17/10/2016,2016,3,0
17/10/2016,2016,6,0
17/10/2016,2016,5,0
17/10/2016,2016,19,0
17/10/2016,2016,4,0
17/10/2016,2016,9,0
17/10/2016,2016,11,0
17/10/2016,2016,7,0
17/10/2016,2016,12,0
17/10/2016,2016,14,0
17/10/2016,2016,28,0
17/10/2016,2016,21,0
17/10/2016,2016,26,0
17/10/2016,2016,30,0
17/11/2016,2016,1,0
17/11/2016,2016,1,0
17/11/2016,2016,1,0
17/11/2016,2016,2,0
17/11/2016,2016,5,0
17/11/2016,2016,4,0
17/11/2016,2016,10,0
17/11/2016,2016,8,0
17/11/2016,2016,9,0
17/11/2016,2016,3,0
17/11/2016,2016,13,0
