,Trade Name,Trade Name Ar,Industry Type,Industry Type Ar,Product Name,Product Name Ar,Actual Production Capacity,Unit,Contact Person Name,E-Mail,Phone
10,GULF RUBBER FACTORY  - SOLE PROPRIETORSHIP L.L.C.,مصنع الخليج للمطاط  - شركة الشخص الواحد ذ م م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Rubber Granules,حبيبات مطاطية,10000,Ton metric,Abdallah alrawashdeh | Diab Abu Shaheen,DIAB.ABUSHAHEEN@GMAIL.COM | abdallah@gulfrubberfactory.com,506430161 | 529294404
11,AL RUWAIS POWER COMPANY-PJSC,شركة الرويس للطاقة - ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Water,مياه عادية طبيعية,20244000,Gallon,SYED AZEEM | SYED AZEEM,azeem@ruwaispower.ae | info@ruwaispower.ae,0506001477 | 506001477
12,AL RUWAIS POWER COMPANY-PJSC,شركة الرويس للطاقة - ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,2190000000,Kilo Watt,SYED AZEEM | SYED AZEEM,azeem@ruwaispower.ae | info@ruwaispower.ae,0506001477 | 506001477
13,AL DHAFRA RECYCLING INDUSTRIES - LLC,الظفرة لصناعات التدوير - ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Concrete Aggregate (Recycled),حصباء خرسانية (معاد تدويرها),2002000,Ton metric,Abdalraouf Salim | Abdalraouf Salim,raouf.salim@adri.ae | raouf.salim@hlg.ae,0504405519 | 504405519
14,EMIRATES CMS POWER COMPANY-PSC,شركة الامارات سي ام اس للطاقة - ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natrual Water,مياه عادية طبيعية,1825000000,Gallon,Binoy George | hesham murad,binoy.george@ecpc.ae | hmmurad@ecpc.ae,504453439 | 506628210
15,GULF TOTAL TRACTEBEL POWER COMPANY - P J S (INDUSTRIAL),(شركة الخليج توتال تراكتبل للطاقة - ش م خ (صناعية,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Water,مياه عادية طبيعية,84000000,Gallon,Hassan Salha | Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | hassan.yahya@gttp.ae,502688351 | 508111103
16,GULF TOTAL TRACTEBEL POWER COMPANY - P J S (INDUSTRIAL),(شركة الخليج توتال تراكتبل للطاقة - ش م خ (صناعية,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,1592000,Kilo Watt,Hassan Salha | Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | hassan.yahya@gttp.ae,502688351 | 508111103
17,TAWEELAH ASIA POWER COMPANY - P S C,شركة الطويلة اسيا للطاقة - ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,6640744,Kilo Watt,| Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | osama.m@tapco.ae,506667167 | 508111103
18,TAWEELAH ASIA POWER COMPANY - P S C,شركة الطويلة اسيا للطاقة - ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Water,مياه عادية طبيعية,51064210,Sq meter,| Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | osama.m@tapco.ae,506667167 | 508111103
19,SHUWEIHAT ASIA POWER COMPANY PJSC,شركة الشويهات آسيا للطاقة ش م خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,1500000,Kilo Watt,Abu Dhabi Khalidiya Ajman  Bank Bidg Zayed First Street 7th street Khalidiya,abdul.ghaffar@sapco.ae,566161791
20,ALMIRFA POWER COMPANY P.J.S.C,شركة المرفأ للطاقة  - ش م ع,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Water,مياه عادية طبيعية,64200000,Cu meter,| HAMAD ALSUBOUSI | Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192
21,ALMIRFA POWER COMPANY P.J.S.C,شركة المرفأ للطاقة  - ش م ع,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,4818000000,Kilo Watt,| HAMAD ALSUBOUSI | Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192
22,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Liquid Animal Organic Fertilizers,أسمدة عضوية حيوانية سائلة,10000,Gallon,Haeithm Abo Dakka,hr@ebff.ae,504486242
23,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Powder Animal Organic Fertilizers,أسمدة عضوية حيوانية بودرة,45000,Ton metric,Haeithm Abo Dakka,hr@ebff.ae,504486242
24,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Compound Liquid Chemical Fertilizers,أسمدة كيماوية سائلة مركبة,10000,Gallon,Haeithm Abo Dakka,hr@ebff.ae,504486242
25,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Pellet Animal Organic Fertilizers,أسمدة عضوية حيوانية محببة,20000,Ton metric,Haeithm Abo Dakka,hr@ebff.ae,504486242
26,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Compound Powder Chemical Fertilizers,أسمدة كيماوية بودرة مركبة,2000,Ton metric,Haeithm Abo Dakka,hr@ebff.ae,504486242
27,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Fertilizing Potting Soil,تربة زراعية مخصبة,2500000,Litre,Haeithm Abo Dakka,hr@ebff.ae,504486242
28,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Compound Pellet Organic Chemical Fertilizers,أسمدة عضوية كيماوية محببة مركبة,1500,Ton metric,Haeithm Abo Dakka,hr@ebff.ae,504486242
29,EMIRATES BIOLGICA FERTILIZER / WLL,مصنع الامارات للاسمدة البيولوجية ( بيوسماد) ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Powder Vegetable Organic Fertilizers,أسمدة عضوية نباتية بودرة,1000,Ton metric,Haeithm Abo Dakka,hr@ebff.ae,504486242
30,AL MIRFA POWER COMPANY P.J.S.C - BRANCH 1,شركة المرفأ للطاقة ش. م .ع.  - فرع 1,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,2242560000,Kilo Watt,| HAMAD ALSUBOUSI | Musabbeh Alkaabi,Gov.affairs@abudhabipower.ae | hamad.alsubosi@almirfa.net | husseinn@almirfa.net,0506592777 | 508111103 | 6225192
31,AL YAHAR ORGANIC FERTILIZERS  FACTORY,مصنع اليحر للاسمدة العضوية,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Powder Animal Organic Fertilizers,أسمدة عضوية حيوانية بودرة,12000,Ton metric,Said Ahmad Shah Muhammad Khan,alyaharfactory@ymail.com,503361007
32,MIRFA INTERNATIONAL POWER AND WATER COMPANY P.J.S.C.,شركة المرفأ انترناشيونال للماء والكهرباء ش.م.خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electrical Energy,طاقة كهربائية,14000000,Kilo Watt,| GAWOO SHIN | Musabbeh Alkaabi | Sinan hasan,Gov.affairs@abudhabipower.ae | gshin@agility.com | muhammad.ismail@mipco.ae | sinan_333@hotmail.com,502802763 | 508111103 | 523823339 | 565025221
33,MIRFA INTERNATIONAL POWER AND WATER COMPANY P.J.S.C.,شركة المرفأ انترناشيونال للماء والكهرباء ش.م.خ,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ordinary Natural Water,مياه عادية طبيعية,19000,Gallon,| GAWOO SHIN | Musabbeh Alkaabi | Sinan hasan,Gov.affairs@abudhabipower.ae | gshin@agility.com | muhammad.ismail@mipco.ae | sinan_333@hotmail.com,502802763 | 508111103 | 523823339 | 565025221
34,AL YAZREB FERTILIZERS FACTORY,مصنع آل يزرب للسماد,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Powder Animal Organic Fertilizers,أسمدة عضوية حيوانية بودرة,36000,Ton metric,Suhail Al Ameri,mahmooden789@gmail.com,544200901
35,SWEIHAN PV POWER COMPANY PJSC - INDUSTRIAL BRANCH,شركة سويحان للطاقة الكهروضوئية ش.م.خ. - فرع صناعي,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Electricity Energy,طاقة كهربائية,1400000,Kilo Watt,Nader Afzal,nafzal@noorauh.ae,551779929
36,MANAR ICE FACTORY L.L.C.,معمل منار للثلج ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Ice Blocks,قوالب ثلج,3700,Kilogram,ابوظبى - المصفح الصناعية م 43,liwaicefactory@gmail.com,505467202
37,NEUTRAL FUELS  L.L.C.,نيوترال فيولز  ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Biofuels,وقود حيوي,3000000,Kilogram,GAURAV MATHUR BRAHM PRAKASH | KHALID SAEED OMAR MOHAMED ALAMOODI,alamoodik@gmail.com | gama@almashora.ae,506696299 | 507889995
38,NEUTRAL FUELS  L.L.C.,نيوترال فيولز  ذ.م.م,Energy and Sustainability Industries,صناعات الطاقة والإستدامة,Biodiesel,ديزل حيوي,250000,Litre,GAURAV MATHUR BRAHM PRAKASH | KHALID SAEED OMAR MOHAMED ALAMOODI,alamoodik@gmail.com | gama@almashora.ae,506696299 | 507889995
